covariate,smd_before,smd_after
age10,-0.28422719546707853,0.0
female,-0.1260067860511029,-2.246646675468444e-16
egfr10,0.49274666096169784,-2.966459844866938e-16
urea10,-0.4105593170204622,2.561885525036169e-16
hco3_10,-0.21841209368489967,-8.664289604727193e-16
compl_abd,-0.054464212768496965,-4.142894817270568e-17
compl_trauma,-0.057738795357018986,-5.3166078761772615e-17
compl_other,0.10749916781659426,0.0
ct_abd,0.05424842966909641,0.0
ct_head,-0.3794900645302647,0.0
ct_multi,0.2626443935025354,3.546006276130738e-16
